dataset,method,AUC_aggregate,FPR_Male_LowSES,FPR_Male_HighSES,FPR_Fem_LowSES,FPR_Fem_HighSES,TPR_Male_LowSES,TPR_Male_HighSES,TPR_Fem_LowSES,TPR_Fem_HighSES,FPR_spread
THCSMK,Baseline (SES-aware),0.7525857797596929,0.48623853211009177,0.8461538461538461,0.49333333333333335,0.8,0.7912087912087912,0.8043478260869565,0.8527918781725888,0.9302325581395349,0.3599153140437544
THCSMK,I1: SES feature ablation,0.7402297782732565,0.4954128440366973,0.6153846153846154,0.4666666666666667,0.9,0.8021978021978022,0.7608695652173914,0.8426395939086294,0.7906976744186046,0.43333333333333335
THCSMK,I2: Mediator reweighing,0.756281225484124,0.47706422018348627,0.7692307692307693,0.4533333333333333,0.8,0.8076923076923077,0.8043478260869565,0.8477157360406091,0.8837209302325582,0.34666666666666673
THCSMK,"I3: Per-group thresholds (tau=[np.float64(0.48), np.float64(0.59), np.float64(0.57), np.float64(0.62)])",0.7525857797596929,0.4954128440366973,0.6923076923076923,0.37333333333333335,0.6,0.8021978021978022,0.8043478260869565,0.8020304568527918,0.8372093023255814,0.31897435897435894
THCSMK,I1+I3: Ablation + thresholds,0.7402297782732565,0.4954128440366973,0.7692307692307693,0.4533333333333333,0.9,0.8021978021978022,0.8695652173913043,0.8071065989847716,0.9302325581395349,0.4466666666666667
THCSMK,Baseline: KC Reweighing,0.756632189603204,0.4954128440366973,0.8461538461538461,0.48,0.8,0.8021978021978022,0.8260869565217391,0.8477157360406091,0.9302325581395349,0.36615384615384616
THCSMK,Baseline: KC + per-group thresholds (proxy for ADRL),0.756632189603204,0.4954128440366973,0.6153846153846154,0.36,0.6,0.8131868131868132,0.8043478260869565,0.8020304568527918,0.813953488372093,0.25538461538461543
UCI-Por,Baseline (SES-aware),0.9324225865209471,0.5172413793103449,0.3333333333333333,0.4166666666666667,0.35714285714285715,0.9213483146067416,0.984251968503937,0.9281437125748503,0.9698795180722891,0.18390804597701155
UCI-Por,I1: SES feature ablation,0.9326684881602915,0.5517241379310345,0.3333333333333333,0.4166666666666667,0.35714285714285715,0.9213483146067416,0.9763779527559056,0.9341317365269461,0.9698795180722891,0.21839080459770116
UCI-Por,I2: Mediator reweighing,0.9334699453551913,0.5172413793103449,0.3333333333333333,0.3888888888888889,0.35714285714285715,0.9325842696629213,0.984251968503937,0.9281437125748503,0.9698795180722891,0.18390804597701155
UCI-Por,"I3: Per-group thresholds (tau=[np.float64(0.71), np.float64(0.9), np.float64(0.88), np.float64(0.81)])",0.9324225865209471,0.13793103448275862,0.14285714285714285,0.05555555555555555,0.0,0.8764044943820225,0.8503937007874016,0.8083832335329342,0.9156626506024096,0.14285714285714285
UCI-Por,I1+I3: Ablation + thresholds,0.9326684881602915,0.13793103448275862,0.09523809523809523,0.08333333333333333,0.0,0.8426966292134831,0.8267716535433071,0.8143712574850299,0.8975903614457831,0.13793103448275862
UCI-Por,Baseline: KC Reweighing,0.9348724954462659,0.5517241379310345,0.2857142857142857,0.4166666666666667,0.5,0.9213483146067416,0.984251968503937,0.9281437125748503,0.9698795180722891,0.2660098522167488
UCI-Por,Baseline: KC + per-group thresholds (proxy for ADRL),0.9348724954462659,0.13793103448275862,0.14285714285714285,0.05555555555555555,0.0,0.8539325842696629,0.8661417322834646,0.8203592814371258,0.9096385542168675,0.14285714285714285
